ind,group,continent,country,state,year,Pop,admix
Pd_31,P. species,N_America,Canada,Alberta,2002,pop05,0.00243246252648532
Pd_31,P. species,N_America,Canada,Alberta,2002,pop06,9.69104876276106e-05
Pd_31,P. species,N_America,Canada,Alberta,2002,pop07,0.946960151195526
Pd_32,P. species,N_America,USA,Vermont,2008,pop01,9.94254296529107e-05
Pd_32,P. species,N_America,USA,Vermont,2008,pop02,0.978095054626465
Pd_32,P. species,N_America,USA,Vermont,2008,pop03,0.0105091063305736
Pd_32,P. species,N_America,USA,Vermont,2008,pop04,9.94254296529107e-05
Pd_32,P. species,N_America,USA,Vermont,2008,pop05,0.000632880080956966
Pd_32,P. species,N_America,USA,Vermont,2008,pop06,0.0104647316038609
Pd_32,P. species,N_America,USA,Vermont,2008,pop07,9.94254296529107e-05
Pd_33,P. species,N_America,USA,New York,2008,pop01,0.0071179112419486
Pd_33,P. species,N_America,USA,New York,2008,pop02,0.947064697742462
Pd_33,P. species,N_America,USA,New York,2008,pop03,9.91599445114844e-05
Pd_33,P. species,N_America,USA,New York,2008,pop04,0.0100234439596534
Pd_33,P. species,N_America,USA,New York,2008,pop05,0.000191346785868518
Pd_33,P. species,N_America,USA,New York,2008,pop06,9.91599445114844e-05
Pd_33,P. species,N_America,USA,New York,2008,pop07,0.0354042984545231
Pd_34,P. species,N_America,USA,Wisconsin,2008,pop01,9.99829862848856e-05
Pd_34,P. species,N_America,USA,Wisconsin,2008,pop02,9.99829862848856e-05
Pd_34,P. species,N_America,USA,Wisconsin,2008,pop03,9.99829862848856e-05
Pd_34,P. species,N_America,USA,Wisconsin,2008,pop04,9.99829862848856e-05
Pd_34,P. species,N_America,USA,Wisconsin,2008,pop05,0.999400079250336
Pd_34,P. species,N_America,USA,Wisconsin,2008,pop06,9.99829862848856e-05
Pd_34,P. species,N_America,USA,Wisconsin,2008,pop07,9.99829862848856e-05
Pd_35,P. species,N_America,USA,Minnesota,2008,pop01,0.000100376892078202
Pd_35,P. species,N_America,USA,Minnesota,2008,pop02,0.000100376892078202
Pd_35,P. species,N_America,USA,Minnesota,2008,pop03,0.000100376892078202
Pd_35,P. species,N_America,USA,Minnesota,2008,pop04,0.000100376892078202
Pd_35,P. species,N_America,USA,Minnesota,2008,pop05,0.000100376892078202
Pd_35,P. species,N_America,USA,Minnesota,2008,pop06,0.999397695064545
Pd_35,P. species,N_America,USA,Minnesota,2008,pop07,0.000100376892078202
Pd_36,lab_clone,N_America,USA,New York,2009,pop01,0.921794712543488
Pd_36,lab_clone,N_America,USA,New York,2009,pop02,0.000100503937574103
Pd_36,lab_clone,N_America,USA,New York,2009,pop03,0.0702776312828064
Pd_36,lab_clone,N_America,USA,New York,2009,pop04,0.000360877049388364
Pd_36,lab_clone,N_America,USA,New York,2009,pop05,0.00495798559859395
Pd_36,lab_clone,N_America,USA,New York,2009,pop06,0.00240777037106454
Pd_36,lab_clone,N_America,USA,New York,2009,pop07,0.000100503937574103
Pd_37,lab_clone,N_America,USA,New York,2009,pop01,0.921798646450043
Pd_37,lab_clone,N_America,USA,New York,2009,pop02,0.000100503915746231
Pd_37,lab_clone,N_America,USA,New York,2009,pop03,0.07027468085289
Pd_37,lab_clone,N_America,USA,New York,2009,pop04,0.000359950034180656
Pd_37,lab_clone,N_America,USA,New York,2009,pop05,0.00495836464688182
Pd_37,lab_clone,N_America,USA,New York,2009,pop06,0.00240733660757542
Pd_37,lab_clone,N_America,USA,New York,2009,pop07,0.000100503915746231
Pd_39,lab_clone,N_America,USA,New York,2009,pop01,0.921797156333923
Pd_39,lab_clone,N_America,USA,New York,2009,pop02,0.000100503937574103
Pd_39,lab_clone,N_America,USA,New York,2009,pop03,0.0702757686376572
Pd_39,lab_clone,N_America,USA,New York,2009,pop04,0.000360285310307518
Pd_39,lab_clone,N_America,USA,New York,2009,pop05,0.0049582184292376
Pd_39,lab_clone,N_America,USA,New York,2009,pop06,0.00240752776153386
Pd_39,lab_clone,N_America,USA,New York,2009,pop07,0.000100503937574103
Pd_45,lab_clone,N_America,USA,New York,2009,pop01,0.92179811000824
Pd_45,lab_clone,N_America,USA,New York,2009,pop02,0.000100503937574103
Pd_45,lab_clone,N_America,USA,New York,2009,pop03,0.0702749937772751
Pd_45,lab_clone,N_America,USA,New York,2009,pop04,0.000360044039553031
Pd_45,lab_clone,N_America,USA,New York,2009,pop05,0.00495833810418844
Pd_45,lab_clone,N_America,USA,New York,2009,pop06,0.00240743719041348
Pd_45,lab_clone,N_America,USA,New York,2009,pop07,0.000100503937574103
Pd_47,Europe,Europe,Germany,Thuringa,2009,pop01,0.0862196013331413
Pd_47,Europe,Europe,Germany,Thuringa,2009,pop02,9.92094064713456e-05
Pd_47,Europe,Europe,Germany,Thuringa,2009,pop03,0.913284301757812
Pd_47,Europe,Europe,Germany,Thuringa,2009,pop04,9.92094064713456e-05
Pd_47,Europe,Europe,Germany,Thuringa,2009,pop05,9.92094064713456e-05
Pd_47,Europe,Europe,Germany,Thuringa,2009,pop06,9.92094064713456e-05
Pd_47,Europe,Europe,Germany,Thuringa,2009,pop07,9.92094064713456e-05
Pd_48,Europe,Europe,Switzerland,Aargau,2009,pop01,0.112465716898441
Pd_48,Europe,Europe,Switzerland,Aargau,2009,pop02,9.93633293546736e-05
Pd_48,Europe,Europe,Switzerland,Aargau,2009,pop03,0.887037396430969
Pd_48,Europe,Europe,Switzerland,Aargau,2009,pop04,9.93633293546736e-05
Pd_48,Europe,Europe,Switzerland,Aargau,2009,pop05,9.93633293546736e-05
Pd_48,Europe,Europe,Switzerland,Aargau,2009,pop06,9.93633293546736e-05
Pd_48,Europe,Europe,Switzerland,Aargau,2009,pop07,9.93633293546736e-05
