ind,continent,country,state,year,Pop,admix
Pd_55,N_America,USA,Connecticut,2009,pop05,9.84198413789272e-05
Pd_55,N_America,USA,Connecticut,2009,pop06,9.84198413789272e-05
Pd_55,N_America,USA,Connecticut,2009,pop07,9.84198413789272e-05
Pd_56,N_America,USA,Virginia,2009,pop01,0.584625244140625
Pd_56,N_America,USA,Virginia,2009,pop02,0.414868950843811
Pd_56,N_America,USA,Virginia,2009,pop03,0.000101145313237794
Pd_56,N_America,USA,Virginia,2009,pop04,0.000101145313237794
Pd_56,N_America,USA,Virginia,2009,pop05,0.000101145313237794
Pd_56,N_America,USA,Virginia,2009,pop06,0.000101145313237794
Pd_56,N_America,USA,Virginia,2009,pop07,0.000101145313237794
Pd_57,N_America,USA,Massachussetts,2008,pop01,0.00010015549196396
Pd_57,N_America,USA,Massachussetts,2008,pop02,0.72752445936203
Pd_57,N_America,USA,Massachussetts,2008,pop03,0.257074296474457
Pd_57,N_America,USA,Massachussetts,2008,pop04,0.00399848725646734
Pd_57,N_America,USA,Massachussetts,2008,pop05,0.011102250777185
Pd_57,N_America,USA,Massachussetts,2008,pop06,0.00010015549196396
Pd_57,N_America,USA,Massachussetts,2008,pop07,0.00010015549196396
Pd_58,N_America,USA,Alabama,2015,pop01,0.000101291749160737
Pd_58,N_America,USA,Alabama,2015,pop02,0.000101291749160737
Pd_58,N_America,USA,Alabama,2015,pop03,0.000101291749160737
Pd_58,N_America,USA,Alabama,2015,pop04,0.999392211437225
Pd_58,N_America,USA,Alabama,2015,pop05,0.000101291749160737
Pd_58,N_America,USA,Alabama,2015,pop06,0.000101291749160737
Pd_58,N_America,USA,Alabama,2015,pop07,0.000101291749160737
Pd_59,N_America,USA,Washington,2016,pop01,9.99500116449781e-05
Pd_59,N_America,USA,Washington,2016,pop02,9.99500116449781e-05
Pd_59,N_America,USA,Washington,2016,pop03,9.99500116449781e-05
Pd_59,N_America,USA,Washington,2016,pop04,0.999400198459625
Pd_59,N_America,USA,Washington,2016,pop05,9.99500116449781e-05
Pd_59,N_America,USA,Washington,2016,pop06,9.99500116449781e-05
Pd_59,N_America,USA,Washington,2016,pop07,9.99500116449781e-05
Pd_62,N_America,USA,Connecticut,2008,pop01,9.97886309050955e-05
Pd_62,N_America,USA,Connecticut,2008,pop02,0.843092858791351
Pd_62,N_America,USA,Connecticut,2008,pop03,0.139963209629059
Pd_62,N_America,USA,Connecticut,2008,pop04,0.0165446605533361
Pd_62,N_America,USA,Connecticut,2008,pop05,9.97886309050955e-05
Pd_62,N_America,USA,Connecticut,2008,pop06,9.97886309050955e-05
Pd_62,N_America,USA,Connecticut,2008,pop07,9.97886309050955e-05
Pd_63,N_America,USA,Tennessee,2010,pop01,0.966300845146179
Pd_63,N_America,USA,Tennessee,2010,pop02,0.0328528694808483
Pd_63,N_America,USA,Tennessee,2010,pop03,0.000175613909959793
