ind,continent,Pop,admix
Pd_72,N_America,pop5,0.00012896946282126
Pd_72,N_America,pop6,0.00012896946282126
Pd_73,N_America,pop1,0.000129388325149193
Pd_73,N_America,pop2,0.000129388325149193
Pd_73,N_America,pop3,0.000485255819512531
Pd_73,N_America,pop4,0.998997092247009
Pd_73,N_America,pop5,0.000129388325149193
Pd_73,N_America,pop6,0.000129388325149193
Pd_74,N_America,pop1,0.000128406652947888
Pd_74,N_America,pop2,0.000128406652947888
Pd_74,N_America,pop3,0.00314185302704573
Pd_74,N_America,pop4,0.996344447135925
Pd_74,N_America,pop5,0.000128406652947888
Pd_74,N_America,pop6,0.000128406652947888
Pd_75,N_America,pop1,0.000128104991745204
Pd_75,N_America,pop2,0.000128104991745204
Pd_75,N_America,pop3,0.00454917177557945
Pd_75,N_America,pop4,0.994938373565674
Pd_75,N_America,pop5,0.000128104991745204
Pd_75,N_America,pop6,0.000128104991745204
Pd_76,N_America,pop1,0.000128936022520065
Pd_76,N_America,pop2,0.000128936022520065
Pd_76,N_America,pop3,0.00151208159513772
Pd_76,N_America,pop4,0.997972130775452
Pd_76,N_America,pop5,0.000128936022520065
Pd_76,N_America,pop6,0.000128936022520065
Pd_77,N_America,pop1,0.000128375962958671
Pd_77,N_America,pop2,0.000128375962958671
Pd_77,N_America,pop3,0.00396500015631318
Pd_77,N_America,pop4,0.995521485805511
Pd_77,N_America,pop5,0.000128375962958671
Pd_77,N_America,pop6,0.000128375962958671
Pd_78,N_America,pop1,0.000128965562907979
Pd_78,N_America,pop2,0.000128965562907979
Pd_78,N_America,pop3,0.00128083268646151
Pd_78,N_America,pop4,0.998203277587891
Pd_78,N_America,pop5,0.000128965562907979
Pd_78,N_America,pop6,0.000128965562907979
Pd_79,N_America,pop1,0.000129141364595853
Pd_79,N_America,pop2,0.000129141364595853
Pd_79,N_America,pop3,0.00105505913961679
Pd_79,N_America,pop4,0.998428344726562
Pd_79,N_America,pop5,0.000129141364595853
Pd_79,N_America,pop6,0.000129141364595853
Pd_80,Europe,pop1,0.000108958374767099
Pd_80,Europe,pop2,0.000108958374767099
Pd_80,Europe,pop3,0.767340898513794
Pd_80,Europe,pop4,0.232223227620125
Pd_80,Europe,pop5,0.000108958374767099
Pd_80,Europe,pop6,0.000108958374767099
Pd_81,Europe,pop1,0.000104319762613159
Pd_81,Europe,pop2,0.000104319762613159
Pd_81,Europe,pop3,0.92676967382431
Pd_81,Europe,pop4,0.0728130415081978
Pd_81,Europe,pop5,0.000104319762613159
Pd_81,Europe,pop6,0.000104319762613159
Pd_82,N_America,pop1,0.000127776380395517
Pd_82,N_America,pop2,0.000127776380395517
Pd_82,N_America,pop3,0.00528502091765404
Pd_82,N_America,pop4,0.994203865528107
Pd_82,N_America,pop5,0.000127776380395517
Pd_82,N_America,pop6,0.000127776380395517
Pd_83,N_America,pop1,0.000127640189020894
Pd_83,N_America,pop2,0.000127640189020894
Pd_83,N_America,pop3,0.00470919301733375
Pd_83,N_America,pop4,0.99478018283844
Pd_83,N_America,pop5,0.000127640189020894
Pd_83,N_America,pop6,0.000127640189020894
Pd_84,N_America,pop1,0.000127740160678513
Pd_84,N_America,pop2,0.000127740160678513
Pd_84,N_America,pop3,0.00384645769372582
Pd_84,N_America,pop4,0.99564254283905
Pd_84,N_America,pop5,0.000127740160678513
Pd_84,N_America,pop6,0.000127740160678513
Pd_85,N_America,pop1,0.000127510924357921
Pd_85,N_America,pop2,0.000127510924357921
Pd_85,N_America,pop3,0.00373381027020514
Pd_85,N_America,pop4,0.995756089687347
Pd_85,N_America,pop5,0.000127510924357921
Pd_85,N_America,pop6,0.000127510924357921
